DAYSNEEDTOCOMPLETED,ID,LISTMATERIALS,NAME,PRICE,PRIORITY,STATUS
10,1,"[1,2]",To paint walls,200,LOW,DONE
10,2,"[3,4]",To paste wallpaper,350,LOW,CREATE
20,3,"[5,6]",To lay pipeline,400,MEDIUM,CREATE
20,4,"[7,8]",To lay cable,500,MEDIUM,CREATE
10,5,"[9,10]",Assemble the electrical panel,400,MEDIUM,CREATE
10,6,"[11,12]",Hang up lights,300,LOW,CREATE
10,7,"[13,14]",Laying tiles on the floor,500,LOW,CREATE
10,8,"[15,16]",Install windows,600,HIGH,CREATE
10,9,"[17,18]",Floor insulation,700,HIGH,CREATE
10,10,"[19,20]",Soundproofing,650,HIGH,CREATE
